,Balikpapan height,Bontang height,Tandjoengbatoe height,Tarakan height,Tawau height,Semporna height,Bongao Island height,Zamboanga height,Pagadian height,General Santos height,Tahuna height,Manado height,Boroko height,Genluma height,Boeol height,Tolotoli height,Palu height,Davao height
838,0.06504200000000182,0.13954799999999956,0.20377270000000003,0.0947079999999989,0.18059530000000024,0.11774769999999979,0.16992899999999977,0.2142430000000033,0.7527650000000001,0.5535500000000013,0.229920000000007,0.34308099999999797,0.2848949999999988,0.7077741999999998,0.35889600000000144,0.49178699999999864,0.11607300000000009,0.27593900000000104
839,0.0949460000000002,0.23542600000000036,0.26504569999999994,0.13371699999999898,0.2689163000000008,0.15608000000000022,0.24284700000000115,0.2589410000000001,0.8712449999999983,0.590689999999995,0.2613199999999978,0.4189949999999989,0.38474000000000075,0.9884250999999997,0.5337439999999987,0.6629780000000025,0.15836699999999837,0.29210299999999734
840,0.12958500000000228,0.3149720000000009,0.3379645,0.1732579999999988,0.35059730000000044,0.1954476999999999,0.3244499999999988,0.36083,1.1533869999999986,0.7783900000000017,0.3454499999999996,0.5632269999999977,0.5898000000000003,1.2923656999999995,0.7051319999999919,0.8258159999999997,0.20147099999999796,0.3686909999999983
841,0.07974300000000056,0.18247299999999989,0.24526069999999933,0.11652400000000007,0.22847530000000127,0.14079249999999988,0.2133660000000006,0.25657199999999847,0.8656569999999988,0.5923399999999788,0.22948999999999842,0.40177899999999767,0.3885940000000012,0.8577089999999998,0.4026020000000017,0.5855239999999995,0.14220800000000366,0.3018239999999963
842,0.10358400000000145,0.25659100000000024,0.28790339999999937,0.14222299999999954,0.29032330000000073,0.16274569999999988,0.26709400000000016,0.26501000000000374,0.9123719999999977,0.611329999999981,0.26525999999999783,0.4385589999999979,0.37066700000000097,0.9710834999999998,0.5742469999999997,0.6644040000000011,0.16681700000000177,0.3064719999999994
843,0.10443100000000172,0.25286200000000036,0.28352359999999965,0.14225500000000046,0.2869793000000005,0.1629961999999998,0.26213200000000114,0.25607400000000524,0.8850529999999992,0.6162499999999795,0.2882100000000065,0.4451420000000006,0.45390099999999833,1.0348363000000003,0.6061949999999996,0.7068270000000005,0.1642970000000048,0.2876839999999987
844,0.10103600000000057,0.24856199999999973,0.27809419999999996,0.1419599999999992,0.2827983000000014,0.16446700000000014,0.25912899999999794,0.3035330000000016,1.0194310000000009,0.6897999999999911,0.2628399999999971,0.44590399999999875,0.4506540000000001,0.9915699,0.47095500000000357,0.6960470000000001,0.16890800000000183,0.34900400000000076
845,0.07336600000000004,0.21669499999999964,0.22697309999999948,0.11286600000000035,0.22228630000000038,0.13242619999999983,0.18794799999999867,0.18975500000000523,0.6759160000000008,0.44415999999998235,0.1787700000000001,0.3660289999999975,0.33393799999999985,0.7388653000000005,0.4634199999999993,0.5862300000000005,0.13133200000000045,0.22507699999999886
846,0.08549000000000007,0.21831599999999973,0.2630771999999997,0.12458499999999972,0.24712829999999997,0.14900279999999988,0.23191500000000076,0.26771300000000053,0.9028700000000001,0.6026200000000017,0.2563300000000055,0.4365439999999978,0.5092800000000004,0.9883907000000001,0.4045459999999963,0.6003229999999995,0.15286499999999847,0.2976510000000019
847,0.10838000000000036,0.2709400000000013,0.29416839999999933,0.1492830000000005,0.29524530000000127,0.16769200000000017,0.2603660000000012,0.2520140000000026,0.8962389999999978,0.6000999999999976,0.2736400000000003,0.4978920000000002,0.4852489999999996,1.0265850000000007,0.6099849999999947,0.7582740000000001,0.17471000000000458,0.26805900000000094
848,0.08673600000000192,0.22273099999999957,0.24752809999999936,0.1223869999999998,0.24950630000000018,0.1445835999999998,0.22926199999999852,0.22079000000000093,0.7925819999999995,0.5350799999999936,0.2406299999999959,0.4016409999999979,0.3396259999999991,0.8788426999999999,0.5011149999999986,0.5910040000000016,0.15241199999999822,0.27162299999999817
849,0.07587900000000047,0.21287900000000093,0.23388549999999952,0.11474100000000043,0.23363630000000057,0.13659510000000008,0.21349499999999821,0.2165549999999996,0.7497720000000001,0.5048499999999763,0.2168400000000048,0.3662150000000004,0.29376000000000246,0.8092790000000001,0.45339900000000455,0.5451329999999999,0.13910800000000023,0.2614449999999948
850,0.08756400000000042,0.24727000000000032,0.2650560999999998,0.1324449999999988,0.2663833000000011,0.1479963999999998,0.2846720000000005,0.2278659999999988,0.8461169999999996,0.5843500000000006,0.28791999999999973,0.516604000000001,0.5074679999999994,0.9574075000000004,0.7822050000000047,0.7367709999999974,0.14429400000000214,0.20623199999999997
851,0.09927700000000073,0.227310000000001,0.2714023000000001,0.13741800000000026,0.27672130000000017,0.15990340000000014,0.26152000000000086,0.29264200000000073,0.983663,0.6603299999999876,0.2629400000000004,0.4354680000000002,0.3950579999999988,0.9939388000000005,0.4594469999999973,0.6676839999999977,0.1631619999999998,0.34080799999999556
