,Unnamed: 0,Balikpapan height,Bontang height,Tandjoengbatoe height,Tarakan height,Tawau height,Semporna height,Bongao Island height,Zamboanga height,Pagadian height,General Santos height,Tahuna height,Manado height,Boroko height,Genluma height,Boeol height,Tolotoli height,Palu height,Davao height
8334,837,0.0670400000000022,0.1574980000000003,0.1908726999999999,0.0960229999999988,0.1911623000000002,0.1187730999999998,0.1739040000000002,0.197219000000004,0.6663630000000005,0.4522299999999859,0.1906699999999972,0.3396059999999998,0.2488489999999998,0.7129370999999995,0.379092,0.4832950000000018,0.1194150000000036,0.2402960000000007
8344,838,0.1262870000000013,0.3158480000000008,0.3421988999999996,0.1740339999999989,0.3471523000000012,0.1902183000000001,0.3274419999999978,0.287704000000005,1.0554689999999989,0.7255899999999826,0.3424200000000041,0.6020749999999992,0.6335869999999986,1.1765879000000004,0.692569000000006,0.8725899999999989,0.1601449999999999,0.2882290000000012
8354,839,0.0872840000000003,0.2147810000000003,0.2599086000000001,0.1233399999999989,0.2434533000000005,0.1477892,0.2243150000000007,0.2647049999999993,0.8940669999999997,0.6012199999999837,0.2506800000000027,0.4233609999999999,0.4700220000000001,0.9609439999999996,0.4145390000000049,0.6112920000000024,0.1507369999999994,0.3021579999999986
8364,840,0.0688080000000006,0.1552790000000001,0.1958820000000001,0.0972609999999996,0.1950742999999999,0.1201167,0.1802169999999989,0.206555999999999,0.6844239999999999,0.4626700000000028,0.1965399999999988,0.3435609999999975,0.2678860000000007,0.7083444999999999,0.3596610000000027,0.4786090000000023,0.1219600000000014,0.2454199999999957
8374,841,0.1107430000000029,0.2480019999999996,0.2916737999999998,0.1474069999999994,0.2988832999999999,0.1692593000000002,0.2800139999999977,0.3026850000000038,1.026136000000001,0.6812599999999804,0.2853300000000018,0.4645179999999982,0.4565349999999988,1.0539066999999998,0.5186329999999941,0.7064520000000023,0.1657110000000017,0.3445120000000017
8384,842,0.1033450000000009,0.2351660000000013,0.2885137999999996,0.140587,0.2767783000000001,0.1647744000000002,0.2480519999999977,0.3000450000000043,0.9834080000000008,0.6640099999999904,0.2828999999999979,0.4815480000000001,0.5265839999999997,1.1207579999999997,0.5111509999999981,0.6994340000000001,0.1608459999999993,0.3259869999999978
8394,843,0.1115460000000005,0.2753449999999997,0.3015283999999996,0.151311999999999,0.3030053000000006,0.1703939000000001,0.2631879999999995,0.2714989999999986,0.9296480000000004,0.6213499999999783,0.2674099999999981,0.4536090000000001,0.4421099999999995,1.0209961000000003,0.6027190000000076,0.7449730000000017,0.1759770000000031,0.3006039999999998
8404,844,0.088909000000001,0.2034400000000005,0.2426902000000002,0.1233789999999999,0.2447933000000013,0.14588,0.219110999999998,0.2421890000000033,0.8062089999999991,0.5545999999999935,0.2441000000000031,0.4037189999999988,0.371100000000002,0.9509428999999994,0.4863349999999968,0.6301220000000001,0.1487520000000017,0.264091999999998
8414,845,0.0802070000000014,0.1892490000000002,0.2280229,0.1136920000000003,0.2242053000000012,0.1371552999999998,0.1992329999999995,0.2360439999999997,0.8064159999999987,0.5500199999999893,0.2018199999999979,0.3529949999999999,0.3035390000000006,0.8170022000000001,0.4293130000000076,0.5672490000000003,0.1416630000000012,0.2794209999999992
8424,846,0.1286550000000019,0.3048420000000007,0.3212096999999998,0.1650619999999989,0.3333863000000008,0.1881485,0.3135879999999993,0.3483850000000004,1.104851,0.7510099999999795,0.3369100000000031,0.5637860000000003,0.6272100000000016,1.261514,0.6786529999999971,0.7848420000000011,0.1888149999999981,0.3489029999999999
8434,847,0.0746020000000022,0.1875090000000003,0.2118560999999994,0.1078159999999996,0.2086333000000007,0.1285454999999999,0.1734170000000006,0.2003680000000045,0.6757570000000008,0.4432799999999872,0.1751600000000053,0.3524959999999986,0.3281349999999996,0.7575332000000001,0.4398509999999902,0.5780570000000012,0.1301010000000033,0.2256239999999962
8444,848,0.0256120000000024,0.1259880000000013,0.1664214999999993,0.0818709999999995,0.1625233000000001,0.1027195999999999,0.1553019999999989,0.1596430000000026,0.6012640000000005,0.4199099999999873,0.1668400000000076,0.305223999999999,0.2247180000000028,0.5608493000000001,0.2965990000000005,0.3964159999999985,0.1005140000000039,0.2252749999999963
8454,849,0.124805000000002,0.2847620000000006,0.3198549999999995,0.1608509999999992,0.3270553000000014,0.1821125000000001,0.3015270000000001,0.3147640000000038,1.0540710000000004,0.7065699999999993,0.3084599999999966,0.4737450000000009,0.4372679999999995,1.1429318000000004,0.6427690000000013,0.7641000000000027,0.1796429999999986,0.3452720000000013
