,prior_logpdf,llh,posterior_logpdf
149,-25.703935556402968,-21.100363594462046,-46.80429915086501
150,-26.31529880257167,-21.299495748590978,-47.61479455116265
151,-25.72076222796851,-21.629841807798012,-47.35060403576652
152,-25.72076222796851,-21.629841807798012,-47.35060403576652
153,-25.357493893223854,-21.45648895942129,-46.81398285264514
154,-25.357493893223854,-21.45648895942129,-46.81398285264514
155,-25.357493893223854,-21.45648895942129,-46.81398285264514
156,-25.357493893223854,-21.45648895942129,-46.81398285264514
157,-25.357493893223854,-21.45648895942129,-46.81398285264514
158,-26.70141803725869,-21.91973294195265,-48.62115097921134
159,-26.70141803725869,-21.91973294195265,-48.62115097921134
160,-26.70141803725869,-21.91973294195265,-48.62115097921134
161,-26.97583993959949,-21.52305035586822,-48.49889029546771
162,-26.04183613509425,-21.677084950107307,-47.71892108520157
163,-26.04183613509425,-21.677084950107307,-47.71892108520157
164,-26.14214154184863,-21.49788813729705,-47.64002967914567
165,-26.14214154184863,-21.49788813729705,-47.64002967914567
166,-26.14214154184863,-21.49788813729705,-47.64002967914567
167,-26.14214154184863,-21.49788813729705,-47.64002967914567
168,-25.98713666644555,-21.483017920901084,-47.47015458734663
169,-27.76350538353098,-20.827501718425665,-48.59100710195664
170,-27.76350538353098,-20.827501718425665,-48.59100710195664
171,-27.76350538353098,-20.827501718425665,-48.59100710195664
172,-27.76350538353098,-20.827501718425665,-48.59100710195664
173,-27.76350538353098,-20.827501718425665,-48.59100710195664
174,-27.76350538353098,-20.827501718425665,-48.59100710195664
175,-27.76350538353098,-20.827501718425665,-48.59100710195664
176,-27.76350538353098,-20.827501718425665,-48.59100710195664
177,-27.76350538353098,-20.827501718425665,-48.59100710195664
178,-27.76350538353098,-20.827501718425665,-48.59100710195664
179,-27.76350538353098,-20.827501718425665,-48.59100710195664
180,-28.74657741448637,-21.59040642078348,-50.33698383526986
181,-28.74657741448637,-21.59040642078348,-50.33698383526986
182,-26.737866647758555,-22.66455388341036,-49.40242053116891
183,-27.76350538353098,-20.827501718425665,-48.59100710195664
184,-27.76350538353098,-20.827501718425665,-48.59100710195664
185,-27.76350538353098,-20.827501718425665,-48.59100710195664
186,-27.76350538353098,-20.827501718425665,-48.59100710195664
187,-27.76350538353098,-20.827501718425665,-48.59100710195664
188,-27.76350538353098,-20.827501718425665,-48.59100710195664
189,-28.74657741448637,-21.59040642078348,-50.33698383526986
190,-28.74657741448637,-21.59040642078348,-50.33698383526986
191,-26.737866647758555,-22.66455388341036,-49.40242053116891
192,-26.737866647758555,-22.66455388341036,-49.40242053116891
193,-26.737866647758555,-22.66455388341036,-49.40242053116891
194,-26.737866647758555,-22.66455388341036,-49.40242053116891
195,-26.890716087781804,-22.473826128269238,-49.364542216051035
196,-26.890716087781804,-22.473826128269238,-49.364542216051035
197,-26.64824130246088,-22.79676992395492,-49.44501122641579
