OBJECTID,Shape_Length,START_X,START_Y,END_X,END_Y,Strike,Lat,Long
106,0.00898169,128.9429921,-8.212141282,128.9519159,-8.2111234,83.49277159,-8.211632341,128.947454
107,0.00898169,128.9519159,-8.2111234,128.9608396,-8.210104273,83.48477803,-8.210613836,128.9563777
108,0.008981689,128.9608396,-8.210104273,128.9697631,-8.209083901,83.47678374,-8.209594087,128.9653013
109,0.00898169,128.9697631,-8.209083901,128.9786865,-8.208062283,83.46878384,-8.208573092,128.9742248
110,0.00898169,128.9786865,-8.208062283,128.9876098,-8.207039419,83.46078321,-8.207550851,128.9831481
111,0.00898169,128.9876098,-8.207039419,128.9965329,-8.20601531,83.45278964,-8.206527364,128.9920713
112,0.00898169,128.9965329,-8.20601531,129.0054558,-8.204989955,83.44478829,-8.205502632,129.0009944
113,0.00898169,129.0054558,-8.204989955,129.0143787,-8.203963355,83.436794,-8.204476655,129.0099173
114,0.00898169,129.0143787,-8.203963355,129.0233014,-8.202935509,83.42879337,-8.203449432,129.01884
115,0.00898169,129.0233014,-8.202935509,129.0322239,-8.201906418,83.42079835,-8.202420963,129.0277626
116,0.00898169,129.0322239,-8.201906418,129.0411463,-8.200876082,83.41280406,-8.20139125,129.0366851
117,0.008981689,129.0411463,-8.200876082,129.0500685,-8.1998445,83.40480197,-8.200360291,129.0456074
118,0.00898169,129.0500685,-8.1998445,129.0589907,-8.198811673,83.39680768,-8.199328086,129.0545296
119,0.00898169,129.0589907,-8.198811673,129.0679126,-8.1977776,83.38880559,-8.198294636,129.0634516
120,0.00898169,129.0679126,-8.1977776,129.0768344,-8.196742282,83.38081057,-8.197259941,129.0723735
121,0.00898169,129.0768344,-8.196742282,129.0857561,-8.195705719,83.37281481,-8.196224,129.0812953
122,0.008981689,129.0857561,-8.195705719,129.0946776,-8.19466791,83.36481272,-8.195186814,129.0902169
123,0.00898169,129.0946776,-8.19466791,129.103599,-8.193628857,83.35682403,-8.194148383,129.0991383
124,0.00898169,129.103599,-8.193628857,129.1125203,-8.192588557,83.34881486,-8.193108707,129.1080596
125,0.00898169,129.1125203,-8.192588557,129.1214414,-8.191547013,83.34082544,-8.192067785,129.1169808
126,0.00898169,129.1214414,-8.191547013,129.1303623,-8.190504224,83.33282969,-8.191025618,129.1259018
127,0.00898169,129.1303623,-8.190504224,129.1392831,-8.189460189,83.32482685,-8.189982206,129.1348227
128,0.00898169,129.1392831,-8.189460189,129.1482038,-8.188414909,83.31683036,-8.188937549,129.1437434
129,0.00898169,129.1482038,-8.188414909,129.1571243,-8.187368384,83.30883386,-8.187891646,129.152664
130,0.00898169,129.1571243,-8.187368384,129.1660447,-8.186320614,83.30083736,-8.186844499,129.1615845
131,0.00898169,129.1660447,-8.186320614,129.1749649,-8.185271598,83.29283453,-8.185796106,129.1705048
132,0.00898169,129.1749649,-8.185271598,129.1838849,-8.184221338,83.28484362,-8.184746468,129.1794249
133,0.008981689,129.1838849,-8.184221338,129.1928049,-8.183169832,83.27684004,-8.183695585,129.1883449
134,0.00898169,129.1928049,-8.183169832,129.2017247,-8.182117082,83.26884988,-8.182643457,129.1972648
135,0.008981689,129.2017247,-8.182117082,129.2106443,-8.181063086,83.26084556,-8.181590084,129.2061845
136,0.00898169,129.2106443,-8.181063086,129.2195638,-8.180007846,83.2528554,-8.180535466,129.215104
137,0.00898169,129.2195638,-8.180007846,129.2284831,-8.17895136,83.24485107,-8.179479603,129.2240234
138,0.008981689,129.2284831,-8.17895136,129.2374023,-8.17789363,83.23685941,-8.178422495,129.2329427
139,0.00898169,129.2374023,-8.17789363,129.2463213,-8.176834654,83.22885584,-8.177364142,129.2418618
140,0.00898169,129.2463213,-8.176834654,129.2552402,-8.175774434,83.22086418,-8.176304544,129.2507808
141,0.008981689,129.2552402,-8.175774434,129.264159,-8.174712968,83.2128591,-8.175243701,129.2596996
142,0.00898169,129.264159,-8.174712968,129.2730776,-8.173650258,83.20486819,-8.174181613,129.2686183
143,0.00898169,129.2730776,-8.173650258,129.281996,-8.172586303,83.19686944,-8.17311828,129.2775368
144,0.008981689,129.281996,-8.172586303,129.2909143,-8.171521103,83.1888707,-8.172053703,129.2864552
