output_time,total_wall_time,total_cpu_time, wall time ( 1), CPU time ( 1), cells updated ( 1),                                                                                                                                                                                                                                                                                                                                                                                                                                  
    0.342000E+04,     0.238543E+03,     0.494825E+03,     0.234935E+03,     0.234124E+03,     0.345139E+09
    0.348000E+04,     0.242946E+03,     0.499208E+03,     0.239278E+03,     0.238451E+03,     0.351187E+09
    0.354000E+04,     0.247351E+03,     0.503593E+03,     0.243624E+03,     0.242783E+03,     0.357235E+09
    0.360000E+04,     0.251751E+03,     0.507973E+03,     0.247964E+03,     0.247108E+03,     0.363283E+09
    0.366000E+04,     0.256168E+03,     0.512370E+03,     0.252319E+03,     0.251448E+03,     0.369331E+09
    0.372000E+04,     0.260585E+03,     0.516767E+03,     0.256675E+03,     0.255789E+03,     0.375379E+09
    0.378000E+04,     0.265008E+03,     0.521170E+03,     0.261037E+03,     0.260136E+03,     0.381427E+09
    0.384000E+04,     0.269425E+03,     0.525567E+03,     0.265395E+03,     0.264479E+03,     0.387475E+09
    0.390000E+04,     0.273849E+03,     0.529970E+03,     0.269756E+03,     0.268825E+03,     0.393523E+09
    0.396000E+04,     0.278280E+03,     0.534381E+03,     0.274125E+03,     0.273179E+03,     0.399571E+09
    0.402000E+04,     0.282715E+03,     0.538796E+03,     0.278501E+03,     0.277540E+03,     0.405619E+09
    0.408000E+04,     0.287146E+03,     0.543207E+03,     0.282869E+03,     0.281894E+03,     0.411667E+09
    0.414000E+04,     0.291568E+03,     0.547609E+03,     0.287230E+03,     0.286239E+03,     0.417715E+09
    0.420000E+04,     0.295998E+03,     0.552019E+03,     0.291601E+03,     0.290595E+03,     0.423763E+09
    0.426000E+04,     0.300437E+03,     0.556437E+03,     0.295979E+03,     0.294958E+03,     0.429811E+09
    0.432000E+04,     0.305065E+03,     0.560860E+03,     0.300360E+03,     0.299324E+03,     0.435859E+09
    0.438000E+04,     0.309509E+03,     0.565283E+03,     0.304742E+03,     0.303691E+03,     0.441907E+09
    0.444000E+04,     0.313945E+03,     0.569698E+03,     0.309118E+03,     0.308051E+03,     0.447955E+09
    0.450000E+04,     0.318391E+03,     0.574124E+03,     0.313503E+03,     0.312421E+03,     0.454003E+09
    0.456000E+04,     0.322849E+03,     0.578562E+03,     0.317901E+03,     0.316804E+03,     0.460051E+09
    0.462000E+04,     0.327299E+03,     0.582992E+03,     0.322292E+03,     0.321179E+03,     0.466099E+09
    0.468000E+04,     0.331750E+03,     0.587423E+03,     0.326683E+03,     0.325556E+03,     0.472147E+09
    0.474000E+04,     0.336206E+03,     0.591858E+03,     0.331077E+03,     0.329935E+03,     0.478195E+09
    0.480000E+04,     0.340662E+03,     0.596293E+03,     0.335472E+03,     0.334315E+03,     0.484243E+09
    0.486000E+04,     0.345114E+03,     0.600725E+03,     0.339865E+03,     0.338692E+03,     0.490291E+09
    0.492000E+04,     0.349571E+03,     0.605161E+03,     0.344260E+03,     0.343072E+03,     0.496339E+09
    0.498000E+04,     0.354034E+03,     0.609604E+03,     0.348660E+03,     0.347457E+03,     0.502387E+09
    0.504000E+04,     0.358487E+03,     0.614037E+03,     0.353056E+03,     0.351838E+03,     0.508435E+09
    0.510000E+04,     0.362948E+03,     0.618478E+03,     0.357454E+03,     0.356222E+03,     0.514483E+09
    0.516000E+04,     0.367409E+03,     0.622918E+03,     0.361855E+03,     0.360607E+03,     0.520531E+09
    0.522000E+04,     0.371880E+03,     0.627369E+03,     0.366265E+03,     0.365001E+03,     0.526579E+09
    0.528000E+04,     0.376351E+03,     0.631819E+03,     0.370668E+03,     0.369389E+03,     0.532627E+09
    0.534000E+04,     0.380815E+03,     0.636262E+03,     0.375071E+03,     0.373776E+03,     0.538675E+09
    0.540000E+04,     0.385277E+03,     0.640704E+03,     0.379469E+03,     0.378160E+03,     0.544723E+09
